"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260601","경원선","석계","8214","9117","20260604",""
"20260601","경원선","광운대","10722","10440","20260604",""
"20260601","경원선","월계","8572","8015","20260604",""
"20260601","경원선","녹천","4997","4374","20260604",""
"20260601","경원선","창동","4","0","20260604",""
"20260601","경원선","방학","11255","10979","20260604",""
"20260601","경원선","도봉","6581","6325","20260604",""
"20260601","경원선","도봉산","7800","5193","20260604",""
"20260601","경원선","망월사","10722","10827","20260604",""
"20260601","경원선","회룡","14944","14837","20260604",""
"20260601","경원선","의정부","20586","20903","20260604",""
"20260601","경원선","가능","7338","6971","20260604",""
"20260601","경원선","녹양","4956","4876","20260604",""
"20260601","경원선","양주","7857","7478","20260604",""
"20260601","경원선","덕계","7975","7392","20260604",""
"20260601","경원선","덕정","8013","7539","20260604",""
"20260601","경원선","지행","7391","7495","20260604",""
"20260601","경원선","동두천중앙","3476","3258","20260604",""
"20260601","경원선","보산","1544","1463","20260604",""
"20260601","경원선","동두천","2461","2437","20260604",""
"20260601","경원선","소요산","1739","1737","20260604",""
"20260601","경원선","청산","146","117","20260604",""
"20260601","경원선","전곡","1351","1146","20260604",""
"20260601","경원선","연천","1239","1127","20260604",""
"20260601","경의선","서울역","3685","4690","20260604",""
"20260601","경의선","신촌","1235","1451","20260604",""
"20260601","경의선","효창공원앞","3855","4077","20260604",""
"20260601","경의선","공덕","4811","3821","20260604",""
"20260601","경의선","서강대","2591","2600","20260604",""
"20260601","경의선","홍대입구","2037","2284","20260604",""
"20260601","경의선","가좌","6834","6437","20260604",""
"20260601","경의선","디지털미디어시티","2759","2628","20260604",""
"20260601","경의선","수색","3532","3699","20260604",""
"20260601","경의선","한국항공대","4243","4150","20260604",""
"20260601","경의선","강매","3776","3170","20260604",""
"20260601","경의선","행신","8270","8476","20260604",""
"20260601","경의선","능곡","4969","4622","20260604",""
"20260601","경의선","곡산","714","797","20260604",""
"20260601","경의선","백마","8478","8261","20260604",""
"20260601","경의선","풍산","7092","6564","20260604",""
"20260601","경의선","일산","11740","11562","20260604",""
"20260601","경의선","탄현","8762","8286","20260604",""
"20260601","경의선","야당","7894","8163","20260604",""
"20260601","경의선","운정","8899","8452","20260604",""
"20260601","경의선","금릉","5549","5286","20260604",""
"20260601","경의선","금촌","7488","7248","20260604",""
"20260601","경의선","월롱","2449","2201","20260604",""
"20260601","경의선","파주","1886","1574","20260604",""
"20260601","경의선","문산","6103","5697","20260604",""
"20260601","경의선","임진강","3","32","20260604",""
"20260601","경의선","운천","7","3","20260604",""
"20260601","경인선","개봉","26014","25450","20260604",""
"20260601","경인선","오류동","12925","12086","20260604",""
"20260601","경인선","역곡","30531","30574","20260604",""
"20260601","7호선","천왕","13736","13578","20260604",""
"20260601","경인선","부천","34344","34273","20260604",""
"20260601","경인선","송내","28567","28528","20260604",""
"20260601","5호선","방화","8019","7792","20260604",""
"20260601","경인선","부평","30719","31764","20260604",""
"20260601","경인선","백운","7633","7502","20260604",""
"20260601","경인선","동암","16171","16147","20260604",""
"20260601","경인선","주안","20095","18421","20260604",""
"20260601","경인선","제물포","12632","12280","20260604",""
"20260601","경인선","동인천","14460","13186","20260604",""
"20260601","경인선","인천","3934","3132","20260604",""
"20260601","경인선","구일","8277","8181","20260604",""
"20260601","경인선","소사","9476","8743","20260604",""
"20260601","경인선","부개","9497","8841","20260604",""
"20260601","경인선","간석","6461","6048","20260604",""
"20260601","경인선","도원","3792","3878","20260604",""
"20260601","경인선","온수(성공회대입구)","7307","6771","20260604",""
"20260601","경인선","중동","10251","9622","20260604",""
"20260601","경인선","도화","4536","4208","20260604",""
"20260601","경춘선","신내","3417","3256","20260604",""
"20260601","경춘선","갈매","2993","2768","20260604",""
"20260601","경춘선","별내","2983","2785","20260604",""
"20260601","경춘선","퇴계원","3986","3562","20260604",""
"20260601","경춘선","사릉","2513","2441","20260604",""
"20260601","경춘선","금곡","1938","1865","20260604",""
"20260601","경춘선","평내호평","7712","7332","20260604",""
"20260601","경춘선","천마산","1915","1773","20260604",""
"20260601","경춘선","마석","4855","4672","20260604",""
"20260601","경춘선","대성리","439","410","20260604",""
